SPXT,S5UTIL,S5TELS,S5RLST,S5MATR,S5INFT,S5INDU,S5HLTH,S5FINL,S5ENRS,S5CONS,S5COND,RUTPINTR,RUMRINTR,RUMCINTR,RU20VATR,RU20INTR,RU20GRTR,RU10VATR,RU10GRTR,NDUEEGF,NDDUWXUS,NDDUUK,NDDUPXJ,NDDUNA,NDDUJN,NDDUE15X,LMBITR,LG30TRUU,LBUSTRUU,BCOMTR
1644.2,144.67,150.37,97.08,146.88,341.7,274.9,387.69,365.11,225.39,229.71,248.34,2362.21,664.361,3057.55,3055.75,1970.111,1768.134,487.365,391.2978,106.994,2220.61,2749.126,1348.415,2590.422,2767.2,2426.712,572.1309,322.2618,1021.94,157.174
1636.86,145.67,148.81,97,146.08,340.02,272,387.05,362.45,225.38,227.95,248.74,2350.21,666.1596,3047.74,3056.14,1970.737,1769.09,485.132,389.4672,106.695,2263.828,2775.792,1373.68,2578.428,2905.029,2457.537,569.6499,322.5146,1015.42,159.843
1646.44,145.25,148.61,96.81,144.74,350.59,272.18,384.72,364.05,224.19,228.51,250.88,2364.52,672.6589,3068.23,3074.93,1990.449,1794.795,485.873,393.8079,106.67,2264.538,2774.107,1365.399,2592.285,2911.031,2463.205,567.2686,322.7813,1011.46,160.704
1652.04,146,149.33,96.12,145.39,349.26,274.83,385.85,366.08,227.46,228.1,251.23,2372.1399,675.3542,3073.68,3076.43,1994.045,1800.792,488.318,394.0636,107.264,2263.595,2757.924,1364.113,2601.345,2957.735,2450.243,567.261,323.9365,1011.52,163.291
1648.28,144.67,148.5,96.39,145.93,342.26,273.59,387.39,367.02,229.73,230.12,250.58,2367.9099,674.5782,3060.94,3074.56,1986.735,1787.797,488.654,391.8964,107.307,2229.865,2732.344,1356.074,2594.609,2867.388,2419.614,566.9502,324.1473,1012.22,163.221
1632.46,143.33,147.11,95.81,143.77,333.37,268.81,390.27,363.91,227.17,228.81,249.43,2343.75,672.9259,3041.07,3062.66,1973.414,1769.891,484.743,387.7138,106.983,2222.097,2752.8,1351.311,2569.845,2795.958,2421.039,566.981,325.0095,1013.99,162.234
1631,143.38,145.99,97.04,145.49,329.99,269.26,390.4,364.53,226.92,229.6,249.46,2340.3601,675.7817,3045.21,3078.01,1982.663,1777.512,484.941,386.9386,106.991,2241.732,2762.001,1357.246,2566.146,2839.215,2448.128,565.1322,325.4349,1008.1,163.359
1649.56,143.8,146.65,97.09,147.08,332.33,269.61,394.86,371.59,229.09,232.76,253.93,2368.8501,676.0585,3072.46,3088.09,1988.127,1781.328,490.294,391.4921,106.783,2260.504,2784.924,1350.117,2596.01,2863.908,2472.972,565.1246,326.1505,1009.41,164.317
1648.73,145.72,146.67,96.47,147.48,332.62,269.35,393.05,369.52,230.48,232.15,254.82,2366.2,680.6795,3083.41,3107.46,2002.82,1796.833,490.168,391.6041,107.415,2255.179,2788.127,1362.057,2595.334,2787.537,2483.181,565.3344,326.4216,1011.52,166.003
1655.44,146.34,145.99,96.71,148.88,334.27,270.67,393.19,371.4,231.51,234.65,255.38,2375,682.9291,3095.51,3119.26,2010.56,1803.92,492.299,392.8414,107.838,2272.624,2795.87,1365.328,2604.899,2848.798,2495.797,565.3004,327.1082,1011.15,165.831
1629.43,146.37,145.04,96.46,148.39,323.36,266.44,384.24,365.19,229.19,233.8,253.66,2334.1899,678.8977,3059.9,3092.03,1987.989,1778.38,486.894,384.6446,108.024,2255.281,2778.122,1373.925,2564.03,2807.119,2476.227,564.1881,326.9221,1008.42,164.34
1631.93,150.18,144.52,97.08,145.9,331,261.51,386.22,365.17,229.45,235.4,250.37,2339.1899,687.6129,3068.02,3122.55,2013.585,1807.584,486.745,386.5612,107.861,2243.953,2773.661,1359.738,2567.823,2795.534,2461.19,563.3197,326.7357,1009.05,166.775
1625.02,149.41,141.92,96.95,144.65,326.5,261.85,385.86,365.66,226.45,236.74,249.23,2330.6899,685.0023,3053.37,3104.72,2001.516,1796.153,484.997,384.9202,108.258,2235.568,2772.205,1359.954,2558.086,2724.611,2468.634,563.0936,326.1632,1008.46,165.264
1601.21,148.79,140.53,96.66,143.11,319.11,256.56,381.67,359.73,224.14,235.23,245.49,2296.28,679.98,3008.38,3074.68,1977.597,1769.885,478.761,378.4715,107.372,2215.854,2745.465,1354.337,2520.259,2707.249,2446.896,562.6159,326.2878,1008.43,164.962
1610.81,147.43,140.76,96.6,145.31,321.46,258.99,381.78,363.21,226.83,237.42,245.34,2309.3101,685.5383,3029.27,3115.96,1999.458,1784.496,482.088,380.348,107.557,2216.431,2743.981,1338.249,2533.578,2702.599,2455.161,563.0141,326.6297,1011.73,165.494
1619.45,149.44,140.11,96.84,147.9,320.89,260.87,382.46,367.03,230.05,237.2,247.2,2318.46,690.4663,3059.62,3146.72,2016.267,1796.399,485.626,381.649,108.208,2219.023,2745.313,1352.491,2546.419,2729.583,2444.011,563.4207,326.5335,1012.5,166.773
1623.43,149.43,141.35,96.29,146.84,326.35,261.35,383.14,365.79,229.74,236.99,246.95,2323.78,692.5792,3072.42,3137.85,2018.726,1807.22,486.261,383.2841,108.435,2240.651,2779.494,1364.047,2552.249,2754.34,2467.86,563.3304,326.7842,1010.21,167.182
1622.23,149.06,140.55,96.82,146.13,331.54,260.18,384.17,363.75,230.43,236.67,243.65,2323.3301,690.118,3069.68,3124.7,2010.965,1801.008,484.634,384.3558,108.069,2240.468,2807.602,1363.53,2550.505,2663.276,2489.601,563.3753,326.793,1009.65,170.055
1608.39,150.4,139.67,97.27,145.57,318.49,258.6,381.45,364.89,232.72,236.65,240.94,2302.97,685.9937,3038.47,3110.74,1994.96,1779.266,483.648,377.9981,109.116,2239.632,2799.074,1350.014,2528.465,2710.95,2475.782,563.371,327.767,1013.62,172.31
1592.6,149.05,139.94,96.95,143.31,314.16,255.01,379.6,361.18,228.87,234.75,238.83,2281.29,682.9545,3003.74,3096.52,1979.768,1759.286,478.871,374.2418,109.017,2243.284,2788.695,1340.418,2504.548,2763.444,2472.525,564.2901,327.8298,1017.18,169.607
1593.96,149.28,139.94,97.42,141.67,315.6,257.77,371.99,363.41,224.75,237.15,241.09,2282.3,684.7494,3010.57,3109.38,1986.859,1764.387,479.524,374.3844,108.829,2234.28,2768.756,1340.627,2505.402,2791.999,2451.547,565.5386,327.9534,1017.28,166.046
1588.88,148.57,138.62,98.14,143.7,309.15,258.29,368.39,365.64,222.25,236.73,243.24,2273,682.9303,3011.8,3114.13,1984.416,1756.394,480.085,371.6078,109.463,2230.051,2778.205,1345.627,2497.65,2783.519,2438.243,566.8955,328.1036,1020.26,164.812
1592.88,149.18,136.36,99.07,143.79,308.06,258.6,369.01,366.99,225.15,237.85,245.15,2275.3799,687.6835,3036.09,3151.44,2005.46,1772.116,481.531,372.5373,108.656,2201.351,2743.303,1333.972,2501.248,2790.222,2387.375,567.6368,327.9868,1019.31,164.923
1582.36,147.86,130.81,99.26,143.79,297.99,257.99,368.3,369.08,222.52,238.9,245.99,2256.5901,688.5091,3029.81,3163.8,2005.498,1763.8,480.263,368.3835,108.273,2199.021,2741.865,1327.758,2483.607,2747.659,2401.27,568.3878,328.3298,1020.57,163.555
1600.36,150.1,130.94,100.32,147.22,301.61,262.61,373.99,370.21,224.83,243.14,248.04,2280.5801,697.4332,3073.12,3217.93,2038.7,1791.81,485.501,372.8843,108.239,2221.454,2776.692,1327.226,2510.632,2774.556,2425.955,569.0703,328.8221,1020.47,163.472
1562.52,147.45,124.26,99.62,145.65,292.54,251.27,369.19,360.78,221.85,240.81,243.22,2220.9299,690.8339,3030.53,3183.08,2008.675,1756.91,476.159,362.7069,108.379,2197.611,2735.043,1337.214,2449.81,2740.132,2401.619,570.1853,329.38,1021.04,160.594
1572.89,147.38,126.93,100.82,145.21,297.26,252.23,370.69,364.88,215.17,241.79,246.62,2236.21,705.0539,3051.74,3259.35,2055.463,1796.384,478.321,366.1514,108.83,2192.791,2744.717,1335.588,2466.481,2695.933,2401.173,571.0029,330.0496,1022.86,158.099
1560.92,145.54,125.37,99.75,143.98,296.39,246.08,371.23,359.93,218.78,238.95,244.95,2216.75,703.2109,3045.5,3233.89,2044.623,1792.53,474.696,363.7933,109.527,2212.408,2768.313,1337.151,2447.303,2735.395,2421.334,571.528,330.2051,1025.27,161.555
1597.48,147.8,135.18,98.56,146.79,310.39,251.25,375.43,367.6,222.45,241.53,247.85,2273.6899,715.9531,3092.3,3286.88,2085.348,1835.992,484.816,372.8919,110.359,2248.887,2800.05,1343.886,2504.99,2774.237,2473.437,570.8756,330.9383,1024.27,161.942
1594.32,149.78,134.76,97.48,147.17,310.78,249.76,370.02,369.32,223.98,239.97,246.62,2268.6599,712.0945,3087.92,3256.06,2068.729,1824.501,485.173,371.032,112.465,2267.978,2811.774,1367.792,2500.594,2815.731,2490.74,570.157,331.2289,1023.4,165.476
