Date,Open,High,Low,Close,Volumn
1/22/2009,1448.653965,1460.237405,1437.070525,1447.93,1
1/23/2009,1446.139398,1447.80354,1444.475256,1447.08,1
1/26/2009,1445.069142,1454.769536,1435.368748,1447.82,1
1/27/2009,1454.432136,1460.537088,1448.327184,1453.56,1
1/28/2009,1451.678326,1457.619513,1445.737139,1449.07,1
1/29/2009,1437.651748,1444.501485,1430.80201,1442.05,1
1/30/2009,1439.324286,1445.305556,1433.343015,1441.27,1
2/2/2009,1445.243822,1447.559454,1442.92819,1447.27,1
2/3/2009,1439.886925,1445.943535,1433.830315,1442.05,1
2/4/2009,1440.916304,1444.873086,1436.959521,1438.83,1
2/5/2009,1443.165304,1449.356057,1436.974551,1439.71,1
2/6/2009,1435.111926,1444.308598,1425.915254,1436.98,1
2/9/2009,1435.429632,1442.04319,1428.816074,1437.73,1
2/10/2009,1440.953693,1447.684754,1434.222632,1447.54,1
2/11/2009,1452.72127,1465.347319,1440.095221,1451.27,1
2/12/2009,1450.2936,1456.97832,1443.60888,1453.2,1
2/13/2009,1444.368897,1451.163546,1437.574248,1445.67,1
2/17/2009,1458.356961,1466.792655,1449.921267,1454.43,1
2/18/2009,1449.075147,1452.40902,1445.741274,1449.51,1
2/19/2009,1443.620815,1452.208212,1435.033418,1443.26,1
2/20/2009,1442.960729,1453.0089,1432.912558,1445.78,1
2/23/2009,1447.590982,1457.272415,1437.909549,1444.99,1
2/24/2009,1439.654778,1446.36696,1432.942596,1443.48,1
2/25/2009,1433.712839,1441.113852,1426.311825,1437.09,1
2/26/2009,1433.952,1437.11175,1430.79225,1436.25,1
2/27/2009,1433.89163,1438.127328,1429.655931,1435.83,1
3/2/2009,1442.218808,1444.163955,1440.27366,1440.85,1
3/3/2009,1435.511458,1441.917099,1429.105816,1439.47,1
3/4/2009,1435.288232,1447.273488,1423.302976,1435.36,1
3/5/2009,1439.726063,1445.42295,1434.029175,1442.25,1
3/6/2009,1444.021755,1454.035176,1434.008334,1440.78,1
3/9/2009,1439.190753,1448.027196,1430.35431,1436.82,1
3/10/2009,1434.433056,1437.732912,1431.1332,1434.72,1
3/11/2009,1432.255252,1440.448603,1424.061901,1437.43,1
3/12/2009,1436.391908,1445.816768,1426.967047,1438.91,1
3/13/2009,1440.924474,1451.284626,1430.564322,1438.91,1
3/16/2009,1440.891585,1445.849028,1435.934142,1436.94,1
3/17/2009,1432.400772,1443.018588,1421.782956,1434.84,1
3/18/2009,1447.592444,1455.589389,1439.595499,1453.99,1
3/19/2009,1447.194158,1454.67376,1439.714555,1452.35,1
3/20/2009,1451.848078,1455.69336,1448.002795,1451.05,1
3/23/2009,1448.989124,1455.08219,1442.896058,1450.73,1
3/24/2009,1446.627335,1454.253012,1439.001657,1452.51,1
3/25/2009,1444.102448,1452.21864,1435.986256,1449.32,1
3/26/2009,1453.346631,1458.284553,1448.408709,1452.33,1
3/27/2009,1453.614523,1463.27285,1443.956196,1452.38,1
3/30/2009,1448.762645,1455.087849,1442.43744,1454.07,1
3/31/2009,1453.533526,1456.517895,1450.549156,1455.79,1
4/1/2009,1457.009868,1463.35008,1450.669656,1457.52,1
4/2/2009,1457.254642,1465.47703,1449.032253,1455.29,1
4/3/2009,1448.152707,1460.548668,1435.756746,1449.82,1
4/6/2009,1450.70499,1462.884822,1438.525158,1449.98,1
4/7/2009,1454.270619,1465.526021,1443.015216,1452.31,1
4/8/2009,1460.008798,1469.25535,1450.762245,1456.15,1
4/9/2009,1450.477602,1459.85616,1441.099044,1454.04,1
4/13/2009,1457.464965,1465.422074,1449.507856,1460.02,1
4/14/2009,1461.12518,1469.61754,1452.63282,1464.2,1
4/15/2009,1469.035875,1480.326,1457.74575,1466.25,1
4/16/2009,1464.106791,1465.937016,1462.276566,1464.18,1
4/17/2009,1461.5046,1468.000176,1455.009024,1459.68,1
4/20/2009,1466.0646,1474.99866,1457.13054,1464.6,1
4/21/2009,1462.368579,1468.216299,1456.520859,1461.93,1
4/22/2009,1460.445742,1466.138065,1454.753419,1459.57,1
4/23/2009,1460.641072,1463.784436,1457.497707,1462.03,1
4/24/2009,1454.545144,1460.68,1448.410288,1460.68,1
4/27/2009,1462.785638,1473.55596,1452.015315,1465.35,1
4/28/2009,1461.585686,1466.923409,1456.247962,1462.39,1
4/29/2009,1463.6859,1469.1624,1458.2094,1460.4,1
